Isotope,Energy,Intensity,unc_intensity,Half life (s),Half life (m),half life (h),half life (d)
57CO,14.4129,9.16,0.15,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
CO-58m,24.889,0.0397,0.0006,32760.0,546.0,9.1,0.37916666666666665
56CR,26.0,44.6,0.5,356.4,5.9399999999999995,0.09899999999999999,0.004124999999999999
CO-60m,58.603,2.0601,0.103005,628.02,10.467,0.17445,0.00726875
49CR,62.289,16.4,0.6,2538.0,42.3,0.705,0.029375
61CO,67.412,84.7,4.235,5940.0,99.0,1.65,0.06875
61CU,67.412,4.2,0.8,11998.8,199.98,3.3329999999999997,0.138875
56CR,83.0,95.3,1.0,356.4,5.9399999999999995,0.09899999999999999,0.004124999999999999
49CR,90.639,53.2,1.9,2538.0,42.3,0.705,0.029375
55CO,91.9,1.16,0.09,63108.0,1051.8,17.53,0.7304166666666667
48CR,112.31,96.0,2.0,77616.0,1293.6,21.56,0.8983333333333333
61CU,117.5,0.011,0.006,11998.8,199.98,3.3329999999999997,0.138875
61FE,120.34,5.1,0.5,358.8,5.98,0.09966666666666667,0.004152777777777778
60CU,120.5,0.194,0.018,1422.0,23.7,0.395,0.016458333333333332
57CO,122.06065,85.6,0.17,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
55FE,126.0,1.28e-07,2e-09,86594050.0,1443234.1666666667,24053.902777777777,1002.245949074074
55CR,126.0,0.0017,0.0003,209.82,3.497,0.05828333333333333,0.002428472222222222
57NI,127.164,16.7,0.5,128160.0,2136.0,35.6,1.4833333333333334
49CR,133.8,3.14e-07,1.5e-08,2538.0,42.3,0.705,0.029375
57CO,136.47356,10.68,0.08,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
59FE,142.651,1.02,0.04,3844368.0,64072.8,1067.88,44.495
49CR,152.928,30.3,1.1,2538.0,42.3,0.705,0.029375
56NI,158.38,98.8,1.0,524880.0,8748.0,145.8,6.075
47V,159.8,0.107,0.006,1956.0,32.6,0.5433333333333333,0.02263888888888889
57NI,161.86,0.0227,0.0008,128160.0,2136.0,35.6,1.4833333333333334
61FE,177.61,1.93,0.2,358.8,5.98,0.09966666666666667,0.004152777777777778
59FE,189.0,0.0009,0.0009,3844368.0,64072.8,1067.88,44.495
61CU,190.79,0.0049,0.0013,11998.8,199.98,3.3329999999999997,0.138875
59FE,192.343,3.08,0.12,3844368.0,64072.8,1067.88,44.495
MN-52g,200.58,0.076,0.0021,483062.4,8051.04,134.184,5.591
61CU,215.55,0.021,0.008,11998.8,199.98,3.3329999999999997,0.138875
